Percentage served,Time in ms
0,5.186
1,7.013
2,7.679
3,8.117
4,8.558
5,8.947
6,9.311
7,9.656
8,9.930
9,10.216
10,10.455
11,10.679
12,10.899
13,11.089
14,11.294
15,11.479
16,11.694
17,11.900
18,12.046
19,12.229
20,12.418
21,12.604
22,12.771
23,12.935
24,13.125
25,13.309
26,13.499
27,13.668
28,13.833
29,13.988
30,14.149
31,14.294
32,14.453
33,14.601
34,14.754
35,14.916
36,15.085
37,15.259
38,15.409
39,15.566
40,15.736
41,15.875
42,16.015
43,16.189
44,16.348
45,16.506
46,16.655
47,16.814
48,16.995
49,17.176
50,17.376
51,17.557
52,17.749
53,17.947
54,18.146
55,18.297
56,18.481
57,18.672
58,18.869
59,19.124
60,19.343
61,19.604
62,19.835
63,20.054
64,20.308
65,20.566
66,20.828
67,21.054
68,21.400
69,21.742
70,22.050
71,22.398
72,22.700
73,23.079
74,23.521
75,23.909
76,24.326
77,24.761
78,25.222
79,25.715
80,26.192
81,26.752
82,27.409
83,28.217
84,29.123
85,29.951
86,30.832
87,31.712
88,32.994
89,34.236
90,35.726
91,37.415
92,39.368
93,41.506
94,43.605
95,46.656
96,50.841
97,57.045
98,67.485
99,124.813
100,3143.553
