starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:19:10 2022	1653175150	0	5	5	5
Sun May 22 01:18:56 2022	1653175136	0	5	5	4
Sun May 22 01:19:07 2022	1653175147	1	5	6	5
Sun May 22 01:19:21 2022	1653175161	1	5	6	5
Sun May 22 01:19:13 2022	1653175153	0	5	6	4
Sun May 22 01:19:07 2022	1653175147	0	5	6	5
Sun May 22 01:19:24 2022	1653175164	0	5	6	5
Sun May 22 01:19:21 2022	1653175161	1	5	6	5
Sun May 22 01:19:22 2022	1653175162	1	5	6	4
Sun May 22 01:18:57 2022	1653175137	1	5	6	4
Sun May 22 01:19:23 2022	1653175163	1	5	6	5
Sun May 22 01:18:57 2022	1653175137	1	5	6	5
Sun May 22 01:19:16 2022	1653175156	0	5	6	5
Sun May 22 01:19:10 2022	1653175150	1	5	6	5
Sun May 22 01:19:07 2022	1653175147	1	5	6	5
Sun May 22 01:19:14 2022	1653175154	1	5	6	5
Sun May 22 01:18:58 2022	1653175138	1	5	6	4
Sun May 22 01:19:14 2022	1653175154	1	5	6	4
Sun May 22 01:19:22 2022	1653175162	1	5	6	5
Sun May 22 01:18:59 2022	1653175139	0	5	6	4
Sun May 22 01:19:08 2022	1653175148	1	5	6	5
Sun May 22 01:18:55 2022	1653175135	1	5	6	5
Sun May 22 01:19:07 2022	1653175147	1	5	6	4
Sun May 22 01:19:17 2022	1653175157	0	6	6	5
Sun May 22 01:19:23 2022	1653175163	1	5	6	5
Sun May 22 01:18:58 2022	1653175138	1	5	6	5
Sun May 22 01:18:54 2022	1653175134	1	5	6	4
Sun May 22 01:19:01 2022	1653175141	1	6	6	4
Sun May 22 01:19:21 2022	1653175161	0	6	6	5
Sun May 22 01:19:21 2022	1653175161	1	6	6	5
Sun May 22 01:19:09 2022	1653175149	1	5	6	3
Sun May 22 01:19:17 2022	1653175157	1	6	6	5
Sun May 22 01:19:00 2022	1653175140	0	6	6	6
Sun May 22 01:19:18 2022	1653175158	1	5	6	5
