starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:22:17 2022	1653171737	1	9	9	9
Sun May 22 00:22:17 2022	1653171737	1	9	11	9
Sun May 22 00:22:17 2022	1653171737	1	11	12	11
Sun May 22 00:22:17 2022	1653171737	1	12	13	12
Sun May 22 00:22:07 2022	1653171727	1	12	13	11
Sun May 22 00:22:17 2022	1653171737	2	11	13	11
Sun May 22 00:22:17 2022	1653171737	1	12	13	12
Sun May 22 00:22:31 2022	1653171751	1	13	14	13
Sun May 22 00:22:17 2022	1653171737	1	14	15	13
Sun May 22 00:22:13 2022	1653171733	1	14	15	14
Sun May 22 00:22:17 2022	1653171737	2	14	16	14
Sun May 22 00:22:17 2022	1653171737	1	15	16	15
Sun May 22 00:22:17 2022	1653171737	1	15	16	15
Sun May 22 00:22:40 2022	1653171760	2	15	17	15
Sun May 22 00:22:40 2022	1653171760	2	15	17	15
Sun May 22 00:22:40 2022	1653171760	2	15	17	15
Sun May 22 00:22:40 2022	1653171760	2	15	18	15
Sun May 22 00:22:17 2022	1653171737	1	18	19	18
Sun May 22 00:22:40 2022	1653171760	2	18	20	18
Sun May 22 00:22:56 2022	1653171776	5	14	20	14
Sun May 22 00:22:40 2022	1653171760	2	18	20	18
Sun May 22 00:22:17 2022	1653171737	2	18	20	18
Sun May 22 00:22:13 2022	1653171733	1	19	20	19
Sun May 22 00:22:40 2022	1653171760	1	19	20	19
Sun May 22 00:22:17 2022	1653171737	2	18	20	18
Sun May 22 00:22:40 2022	1653171760	1	19	20	19
Sun May 22 00:22:40 2022	1653171760	3	18	21	17
Sun May 22 00:22:17 2022	1653171737	1	20	21	20
Sun May 22 00:22:13 2022	1653171733	2	19	21	19
Sun May 22 00:22:17 2022	1653171737	2	20	22	20
Sun May 22 00:22:24 2022	1653171744	1	21	22	20
Sun May 22 00:22:13 2022	1653171733	1	21	22	21
Sun May 22 00:22:17 2022	1653171737	1	21	22	21
Sun May 22 00:22:40 2022	1653171760	1	21	22	20
Sun May 22 00:22:13 2022	1653171733	2	21	23	21
Sun May 22 00:22:24 2022	1653171744	3	20	23	20
Sun May 22 00:22:56 2022	1653171776	4	19	23	19
Sun May 22 00:22:24 2022	1653171744	1	22	23	22
Sun May 22 00:22:17 2022	1653171737	3	21	23	21
Sun May 22 00:22:56 2022	1653171776	5	18	23	18
Sun May 22 00:22:56 2022	1653171776	4	19	24	19
Sun May 22 00:22:13 2022	1653171733	2	22	24	22
Sun May 22 00:22:17 2022	1653171737	2	22	24	22
Sun May 22 00:22:17 2022	1653171737	2	22	24	21
Sun May 22 00:22:17 2022	1653171737	2	22	24	22
Sun May 22 00:22:17 2022	1653171737	2	22	24	21
Sun May 22 00:22:13 2022	1653171733	4	20	24	19
Sun May 22 00:22:13 2022	1653171733	2	22	24	22
Sun May 22 00:22:40 2022	1653171760	1	24	24	24
Sun May 22 00:22:24 2022	1653171744	2	23	24	22
Sun May 22 00:22:17 2022	1653171737	2	23	25	22
Sun May 22 00:22:40 2022	1653171760	2	23	25	23
Sun May 22 00:22:56 2022	1653171776	4	21	25	21
Sun May 22 00:22:42 2022	1653171762	2	23	25	22
Sun May 22 00:22:13 2022	1653171733	4	21	25	21
Sun May 22 00:22:13 2022	1653171733	1	24	25	24
Sun May 22 00:22:31 2022	1653171751	2	23	25	22
Sun May 22 00:22:17 2022	1653171737	1	24	25	24
Sun May 22 00:22:13 2022	1653171733	2	24	26	24
Sun May 22 00:22:24 2022	1653171744	1	25	26	25
Sun May 22 00:22:17 2022	1653171737	2	25	26	24
Sun May 22 00:22:42 2022	1653171762	1	25	26	23
Sun May 22 00:22:50 2022	1653171770	3	24	26	24
Sun May 22 00:22:13 2022	1653171733	3	24	26	24
Sun May 22 00:22:13 2022	1653171733	1	25	27	25
Sun May 22 00:22:35 2022	1653171755	1	26	27	26
Sun May 22 00:22:13 2022	1653171733	4	23	27	23
Sun May 22 00:22:40 2022	1653171760	1	26	27	24
Sun May 22 00:22:13 2022	1653171733	2	25	27	25
Sun May 22 00:22:56 2022	1653171776	3	24	27	23
Sun May 22 00:22:13 2022	1653171733	4	24	27	23
Sun May 22 00:22:40 2022	1653171760	1	26	27	26
Sun May 22 00:22:31 2022	1653171751	4	23	28	23
Sun May 22 00:22:25 2022	1653171745	3	24	28	24
Sun May 22 00:22:35 2022	1653171755	1	27	28	27
Sun May 22 00:22:35 2022	1653171755	3	25	28	24
Sun May 22 00:22:31 2022	1653171751	2	26	28	26
Sun May 22 00:22:25 2022	1653171745	4	24	28	24
Sun May 22 00:22:07 2022	1653171727	2	27	28	26
Sun May 22 00:22:13 2022	1653171733	2	26	28	26
Sun May 22 00:22:24 2022	1653171744	2	26	29	26
Sun May 22 00:22:31 2022	1653171751	1	28	29	27
Sun May 22 00:22:31 2022	1653171751	2	26	29	26
Sun May 22 00:22:25 2022	1653171745	2	27	29	27
Sun May 22 00:22:13 2022	1653171733	3	26	29	26
Sun May 22 00:22:50 2022	1653171770	3	26	29	26
Sun May 22 00:22:35 2022	1653171755	1	29	29	29
Sun May 22 00:22:50 2022	1653171770	1	28	30	28
Sun May 22 00:22:25 2022	1653171745	5	25	30	25
Sun May 22 00:22:25 2022	1653171745	3	27	30	27
Sun May 22 00:22:13 2022	1653171733	2	28	30	28
Sun May 22 00:22:13 2022	1653171733	3	28	30	28
Sun May 22 00:22:31 2022	1653171751	3	28	30	28
Sun May 22 00:22:39 2022	1653171759	5	25	30	25
Sun May 22 00:22:17 2022	1653171737	4	27	30	26
Sun May 22 00:22:35 2022	1653171755	3	28	31	28
Sun May 22 00:22:27 2022	1653171747	1	30	31	28
Sun May 22 00:22:31 2022	1653171751	3	28	31	28
Sun May 22 00:22:50 2022	1653171770	4	27	31	26
Sun May 22 00:22:07 2022	1653171727	2	30	31	29
Sun May 22 00:22:40 2022	1653171760	2	29	32	29
Sun May 22 00:22:17 2022	1653171737	1	31	32	30
Sun May 22 00:22:50 2022	1653171770	1	31	32	30
Sun May 22 00:22:25 2022	1653171745	2	30	32	29
Sun May 22 00:22:31 2022	1653171751	7	25	32	25
Sun May 22 00:22:27 2022	1653171747	7	25	32	25
Sun May 22 00:22:31 2022	1653171751	3	29	32	29
Sun May 22 00:22:50 2022	1653171770	4	28	32	28
Sun May 22 00:22:31 2022	1653171751	2	30	32	30
Sun May 22 00:22:25 2022	1653171745	7	25	33	25
Sun May 22 00:22:17 2022	1653171737	3	29	33	29
Sun May 22 00:22:35 2022	1653171755	2	31	33	31
Sun May 22 00:22:56 2022	1653171776	2	31	33	31
Sun May 22 00:22:17 2022	1653171737	2	31	33	30
Sun May 22 00:22:27 2022	1653171747	9	24	33	24
Sun May 22 00:22:27 2022	1653171747	2	31	33	31
Sun May 22 00:23:07 2022	1653171787	1	32	33	32
Sun May 22 00:22:35 2022	1653171755	2	31	33	30
Sun May 22 00:22:07 2022	1653171727	2	32	34	31
Sun May 22 00:22:25 2022	1653171745	4	30	34	30
Sun May 22 00:22:50 2022	1653171770	5	30	34	29
Sun May 22 00:22:13 2022	1653171733	2	32	34	32
Sun May 22 00:22:50 2022	1653171770	2	33	34	32
Sun May 22 00:22:17 2022	1653171737	3	32	34	32
Sun May 22 00:22:27 2022	1653171747	6	28	35	28
Sun May 22 00:23:07 2022	1653171787	1	34	35	33
Sun May 22 00:22:13 2022	1653171733	3	32	35	32
Sun May 22 00:22:40 2022	1653171760	2	33	35	32
Sun May 22 00:22:17 2022	1653171737	2	34	35	33
Sun May 22 00:22:53 2022	1653171773	2	34	35	32
Sun May 22 00:22:56 2022	1653171776	8	28	36	28
Sun May 22 00:22:35 2022	1653171755	1	35	36	35
Sun May 22 00:23:07 2022	1653171787	1	35	36	35
Sun May 22 00:22:31 2022	1653171751	1	35	36	34
Sun May 22 00:22:25 2022	1653171745	1	35	36	33
Sun May 22 00:22:35 2022	1653171755	1	36	36	35
Sun May 22 00:22:07 2022	1653171727	2	35	37	34
Sun May 22 00:22:39 2022	1653171759	8	29	37	29
Sun May 22 00:22:25 2022	1653171745	3	34	37	34
Sun May 22 00:22:31 2022	1653171751	1	36	37	35
Sun May 22 00:22:40 2022	1653171760	1	36	37	35
Sun May 22 00:22:25 2022	1653171745	3	34	37	34
Sun May 22 00:22:27 2022	1653171747	2	35	37	34
Sun May 22 00:22:25 2022	1653171745	5	32	37	32
Sun May 22 00:22:40 2022	1653171760	2	36	38	35
Sun May 22 00:22:39 2022	1653171759	7	31	38	31
Sun May 22 00:22:13 2022	1653171733	2	36	38	35
Sun May 22 00:22:13 2022	1653171733	2	36	38	35
Sun May 22 00:22:50 2022	1653171770	2	36	38	36
Sun May 22 00:23:07 2022	1653171787	1	38	39	37
Sun May 22 00:22:31 2022	1653171751	1	38	39	37
