Percentage served,Time in ms
0,5.074
1,6.267
2,6.651
3,6.949
4,7.203
5,7.453
6,7.703
7,7.964
8,8.261
9,8.441
10,8.663
11,8.851
12,9.053
13,9.224
14,9.403
15,9.579
16,9.753
17,9.931
18,10.124
19,10.369
20,10.537
21,10.720
22,10.929
23,11.118
24,11.330
25,11.534
26,11.731
27,11.918
28,12.110
29,12.328
30,12.507
31,12.720
32,12.943
33,13.112
34,13.316
35,13.515
36,13.721
37,13.962
38,14.147
39,14.333
40,14.534
41,14.728
42,14.927
43,15.106
44,15.303
45,15.510
46,15.695
47,15.903
48,16.101
49,16.319
50,16.534
51,16.764
52,16.941
53,17.189
54,17.389
55,17.626
56,17.878
57,18.113
58,18.372
59,18.618
60,18.844
61,19.068
62,19.335
63,19.617
64,19.820
65,20.046
66,20.337
67,20.598
68,20.964
69,21.246
70,21.592
71,21.963
72,22.290
73,22.682
74,23.060
75,23.486
76,23.807
77,24.266
78,24.738
79,25.234
80,25.766
81,26.191
82,26.722
83,27.316
84,28.095
85,28.728
86,29.604
87,30.396
88,31.396
89,32.579
90,33.954
91,35.391
92,37.379
93,39.589
94,41.788
95,45.146
96,49.087
97,56.019
98,65.181
99,102.197
100,32286.107
