starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:10:23 2022	1653174623	1	4	5	4
Sun May 22 01:10:28 2022	1653174628	0	5	5	5
Sun May 22 01:10:30 2022	1653174630	1	5	5	5
Sun May 22 01:10:27 2022	1653174627	1	5	5	3
Sun May 22 01:10:35 2022	1653174635	1	5	5	4
Sun May 22 01:10:29 2022	1653174629	0	5	6	5
Sun May 22 01:10:28 2022	1653174628	1	5	6	5
Sun May 22 01:10:21 2022	1653174621	1	5	6	5
Sun May 22 01:10:22 2022	1653174622	1	5	6	5
Sun May 22 01:10:33 2022	1653174633	1	5	6	5
Sun May 22 01:10:35 2022	1653174635	1	5	6	5
Sun May 22 01:10:25 2022	1653174625	1	5	6	4
Sun May 22 01:10:28 2022	1653174628	1	5	6	5
Sun May 22 01:10:27 2022	1653174627	0	5	6	4
Sun May 22 01:10:18 2022	1653174618	1	5	6	4
Sun May 22 01:10:21 2022	1653174621	0	5	6	5
Sun May 22 01:10:21 2022	1653174621	0	5	6	5
Sun May 22 01:10:22 2022	1653174622	0	5	6	4
Sun May 22 01:10:18 2022	1653174618	1	5	6	4
Sun May 22 01:10:23 2022	1653174623	1	5	6	5
Sun May 22 01:10:30 2022	1653174630	1	5	6	4
Sun May 22 01:10:20 2022	1653174620	0	6	6	4
Sun May 22 01:10:29 2022	1653174629	1	5	6	3
Sun May 22 01:10:26 2022	1653174626	0	5	6	3
Sun May 22 01:10:21 2022	1653174621	0	5	6	5
Sun May 22 01:10:35 2022	1653174635	0	6	6	5
Sun May 22 01:10:36 2022	1653174636	0	5	6	4
Sun May 22 01:10:22 2022	1653174622	0	5	6	5
Sun May 22 01:10:30 2022	1653174630	1	5	6	4
Sun May 22 01:10:22 2022	1653174622	0	6	6	5
Sun May 22 01:10:36 2022	1653174636	1	5	6	5
Sun May 22 01:10:39 2022	1653174639	1	5	6	5
Sun May 22 01:10:29 2022	1653174629	1	5	6	5
Sun May 22 01:10:28 2022	1653174628	1	5	6	5
Sun May 22 01:10:28 2022	1653174628	1	5	6	5
Sun May 22 01:10:29 2022	1653174629	1	5	6	5
Sun May 22 01:10:37 2022	1653174637	1	5	6	5
Sun May 22 01:10:28 2022	1653174628	0	6	6	6
Sun May 22 01:10:30 2022	1653174630	1	5	6	5
Sun May 22 01:10:35 2022	1653174635	0	6	6	6
Sun May 22 01:10:31 2022	1653174631	1	5	6	5
Sun May 22 01:10:22 2022	1653174622	1	6	6	6
Sun May 22 01:10:19 2022	1653174619	1	5	6	5
Sun May 22 01:10:19 2022	1653174619	0	6	6	4
Sun May 22 01:10:25 2022	1653174625	1	5	6	5
Sun May 22 01:10:20 2022	1653174620	0	6	6	6
Sun May 22 01:10:40 2022	1653174640	1	5	6	5
Sun May 22 01:10:34 2022	1653174634	1	5	6	5
Sun May 22 01:10:21 2022	1653174621	0	6	6	6
Sun May 22 01:10:36 2022	1653174636	1	5	6	5
Sun May 22 01:10:38 2022	1653174638	0	6	6	6
Sun May 22 01:10:33 2022	1653174633	1	6	6	6
Sun May 22 01:10:21 2022	1653174621	1	6	6	4
Sun May 22 01:10:21 2022	1653174621	1	6	6	6
Sun May 22 01:10:19 2022	1653174619	1	5	6	3
Sun May 22 01:10:29 2022	1653174629	0	6	6	6
Sun May 22 01:10:39 2022	1653174639	1	6	6	5
Sun May 22 01:10:28 2022	1653174628	1	6	6	4
Sun May 22 01:10:28 2022	1653174628	0	6	6	6
Sun May 22 01:10:35 2022	1653174635	1	6	6	6
Sun May 22 01:10:37 2022	1653174637	1	6	6	6
Sun May 22 01:10:41 2022	1653174641	1	6	6	6
Sun May 22 01:10:30 2022	1653174630	1	6	6	5
Sun May 22 01:10:39 2022	1653174639	1	6	6	6
Sun May 22 01:10:26 2022	1653174626	1	6	6	6
Sun May 22 01:10:29 2022	1653174629	1	5	6	5
Sun May 22 01:10:34 2022	1653174634	1	6	6	4
Sun May 22 01:10:23 2022	1653174623	1	6	6	4
Sun May 22 01:10:35 2022	1653174635	1	6	6	6
Sun May 22 01:10:35 2022	1653174635	0	6	6	6
Sun May 22 01:10:21 2022	1653174621	1	6	6	4
Sun May 22 01:10:34 2022	1653174634	1	5	6	5
Sun May 22 01:10:28 2022	1653174628	1	6	6	6
Sun May 22 01:10:31 2022	1653174631	1	6	6	6
Sun May 22 01:10:39 2022	1653174639	1	6	6	6
Sun May 22 01:10:32 2022	1653174632	0	6	6	6
Sun May 22 01:10:43 2022	1653174643	0	6	6	6
Sun May 22 01:10:26 2022	1653174626	1	6	6	6
Sun May 22 01:10:28 2022	1653174628	1	6	6	6
Sun May 22 01:10:34 2022	1653174634	0	6	6	6
Sun May 22 01:10:35 2022	1653174635	1	5	6	4
Sun May 22 01:10:18 2022	1653174618	1	6	6	4
Sun May 22 01:10:29 2022	1653174629	1	6	6	6
Sun May 22 01:10:22 2022	1653174622	1	5	6	5
Sun May 22 01:10:36 2022	1653174636	1	6	6	6
Sun May 22 01:10:21 2022	1653174621	0	6	6	3
Sun May 22 01:10:37 2022	1653174637	0	6	6	6
Sun May 22 01:10:38 2022	1653174638	1	6	6	4
Sun May 22 01:10:32 2022	1653174632	1	6	6	4
Sun May 22 01:10:35 2022	1653174635	1	6	6	4
Sun May 22 01:10:23 2022	1653174623	0	6	6	6
Sun May 22 01:10:35 2022	1653174635	1	6	6	6
Sun May 22 01:10:28 2022	1653174628	1	6	6	4
Sun May 22 01:10:23 2022	1653174623	0	6	6	4
Sun May 22 01:10:42 2022	1653174642	1	6	6	4
Sun May 22 01:10:28 2022	1653174628	1	6	6	6
Sun May 22 01:10:34 2022	1653174634	0	6	6	6
Sun May 22 01:10:36 2022	1653174636	1	5	6	4
Sun May 22 01:10:29 2022	1653174629	0	6	6	5
Sun May 22 01:10:43 2022	1653174643	1	6	6	6
Sun May 22 01:10:34 2022	1653174634	1	6	6	6
Sun May 22 01:10:38 2022	1653174638	1	6	6	6
Sun May 22 01:10:19 2022	1653174619	1	6	6	6
Sun May 22 01:10:23 2022	1653174623	1	6	6	6
Sun May 22 01:10:21 2022	1653174621	0	6	7	6
Sun May 22 01:10:22 2022	1653174622	1	6	7	5
Sun May 22 01:10:19 2022	1653174619	0	6	7	6
Sun May 22 01:10:20 2022	1653174620	1	6	7	6
Sun May 22 01:10:37 2022	1653174637	0	6	7	6
Sun May 22 01:10:37 2022	1653174637	1	6	7	6
Sun May 22 01:10:22 2022	1653174622	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	1	6	7	6
Sun May 22 01:10:37 2022	1653174637	0	6	7	6
Sun May 22 01:10:22 2022	1653174622	0	6	7	5
Sun May 22 01:10:25 2022	1653174625	1	6	7	6
Sun May 22 01:10:39 2022	1653174639	1	6	7	5
Sun May 22 01:10:29 2022	1653174629	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	1	6	7	5
Sun May 22 01:10:37 2022	1653174637	1	6	7	6
Sun May 22 01:10:27 2022	1653174627	1	6	7	4
Sun May 22 01:10:42 2022	1653174642	1	6	7	4
Sun May 22 01:10:22 2022	1653174622	1	6	7	6
Sun May 22 01:10:30 2022	1653174630	0	6	7	5
Sun May 22 01:10:37 2022	1653174637	1	6	7	6
Sun May 22 01:10:31 2022	1653174631	1	6	7	6
Sun May 22 01:10:22 2022	1653174622	1	6	7	6
Sun May 22 01:10:28 2022	1653174628	1	6	7	4
Sun May 22 01:10:21 2022	1653174621	0	6	7	6
Sun May 22 01:10:22 2022	1653174622	1	5	7	4
Sun May 22 01:10:36 2022	1653174636	1	6	7	6
Sun May 22 01:10:29 2022	1653174629	0	6	7	6
Sun May 22 01:10:19 2022	1653174619	1	6	7	4
Sun May 22 01:10:23 2022	1653174623	1	6	7	6
Sun May 22 01:10:31 2022	1653174631	1	6	7	6
Sun May 22 01:10:41 2022	1653174641	1	6	7	4
Sun May 22 01:10:21 2022	1653174621	1	6	7	6
Sun May 22 01:10:30 2022	1653174630	1	6	7	6
Sun May 22 01:10:21 2022	1653174621	1	6	7	4
Sun May 22 01:10:39 2022	1653174639	1	6	7	6
Sun May 22 01:10:31 2022	1653174631	1	6	7	4
Sun May 22 01:10:26 2022	1653174626	1	6	7	4
Sun May 22 01:10:34 2022	1653174634	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	0	6	7	5
Sun May 22 01:10:23 2022	1653174623	1	6	7	5
Sun May 22 01:10:23 2022	1653174623	1	6	7	6
Sun May 22 01:10:18 2022	1653174618	1	6	7	4
Sun May 22 01:10:29 2022	1653174629	1	6	7	6
Sun May 22 01:10:36 2022	1653174636	1	6	7	6
Sun May 22 01:10:39 2022	1653174639	1	6	7	6
Sun May 22 01:10:34 2022	1653174634	1	6	7	4
Sun May 22 01:10:38 2022	1653174638	1	6	7	6
Sun May 22 01:10:30 2022	1653174630	1	6	7	6
Sun May 22 01:10:31 2022	1653174631	1	6	7	5
Sun May 22 01:10:21 2022	1653174621	1	6	7	4
Sun May 22 01:10:37 2022	1653174637	1	6	7	5
Sun May 22 01:10:26 2022	1653174626	1	6	7	5
Sun May 22 01:10:37 2022	1653174637	1	6	7	6
Sun May 22 01:10:25 2022	1653174625	1	6	7	4
Sun May 22 01:10:26 2022	1653174626	1	6	7	6
Sun May 22 01:10:31 2022	1653174631	1	6	7	6
Sun May 22 01:10:23 2022	1653174623	1	6	7	6
Sun May 22 01:10:21 2022	1653174621	0	6	7	6
Sun May 22 01:10:29 2022	1653174629	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	1	5	7	5
Sun May 22 01:10:36 2022	1653174636	1	6	7	6
Sun May 22 01:10:40 2022	1653174640	1	6	7	6
Sun May 22 01:10:28 2022	1653174628	1	6	7	6
Sun May 22 01:10:22 2022	1653174622	1	6	7	6
Sun May 22 01:10:35 2022	1653174635	0	6	7	4
Sun May 22 01:10:23 2022	1653174623	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	1	6	7	5
Sun May 22 01:10:30 2022	1653174630	1	6	7	6
Sun May 22 01:10:30 2022	1653174630	1	6	7	6
Sun May 22 01:10:38 2022	1653174638	0	6	7	6
Sun May 22 01:10:41 2022	1653174641	1	6	7	4
Sun May 22 01:10:36 2022	1653174636	0	6	7	4
Sun May 22 01:10:21 2022	1653174621	0	6	7	5
Sun May 22 01:10:19 2022	1653174619	1	6	7	4
Sun May 22 01:10:22 2022	1653174622	1	6	7	4
Sun May 22 01:10:38 2022	1653174638	1	6	7	5
Sun May 22 01:10:38 2022	1653174638	1	6	7	6
Sun May 22 01:10:19 2022	1653174619	1	6	7	6
Sun May 22 01:10:29 2022	1653174629	1	6	7	6
