starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:02:09 2022	1653174129	1	5	5	4
Sun May 22 01:02:23 2022	1653174143	1	5	5	5
Sun May 22 01:02:23 2022	1653174143	1	5	5	5
Sun May 22 01:02:14 2022	1653174134	1	5	5	5
Sun May 22 01:02:10 2022	1653174130	0	5	5	5
Sun May 22 01:02:14 2022	1653174134	1	5	5	5
Sun May 22 01:02:30 2022	1653174150	1	5	5	4
Sun May 22 01:02:31 2022	1653174151	1	5	6	5
Sun May 22 01:02:09 2022	1653174129	1	5	6	5
Sun May 22 01:02:10 2022	1653174130	0	5	6	3
Sun May 22 01:02:11 2022	1653174131	0	5	6	5
Sun May 22 01:02:13 2022	1653174133	1	5	6	5
Sun May 22 01:02:12 2022	1653174132	1	5	6	5
Sun May 22 01:02:27 2022	1653174147	1	5	6	4
Sun May 22 01:02:11 2022	1653174131	0	5	6	5
Sun May 22 01:02:14 2022	1653174134	0	6	6	5
Sun May 22 01:02:28 2022	1653174148	0	6	6	4
Sun May 22 01:02:32 2022	1653174152	0	5	6	5
Sun May 22 01:02:28 2022	1653174148	1	5	6	4
Sun May 22 01:02:11 2022	1653174131	1	5	6	5
Sun May 22 01:02:13 2022	1653174133	0	5	6	5
Sun May 22 01:02:11 2022	1653174131	1	5	6	5
Sun May 22 01:02:10 2022	1653174130	1	5	6	5
Sun May 22 01:02:31 2022	1653174151	1	5	6	5
Sun May 22 01:02:32 2022	1653174152	0	6	6	5
Sun May 22 01:02:22 2022	1653174142	1	5	6	5
Sun May 22 01:02:13 2022	1653174133	0	6	6	4
Sun May 22 01:02:20 2022	1653174140	1	5	6	5
Sun May 22 01:02:13 2022	1653174133	1	5	6	5
Sun May 22 01:02:31 2022	1653174151	1	5	6	5
Sun May 22 01:02:17 2022	1653174137	1	5	6	5
Sun May 22 01:02:25 2022	1653174145	1	5	6	5
Sun May 22 01:02:13 2022	1653174133	0	6	6	6
Sun May 22 01:02:23 2022	1653174143	1	6	6	5
Sun May 22 01:02:20 2022	1653174140	0	6	6	6
Sun May 22 01:02:29 2022	1653174149	0	6	6	4
Sun May 22 01:02:10 2022	1653174130	0	6	6	6
Sun May 22 01:02:32 2022	1653174152	1	5	6	5
Sun May 22 01:02:27 2022	1653174147	0	6	6	6
Sun May 22 01:02:13 2022	1653174133	0	6	6	6
Sun May 22 01:02:25 2022	1653174145	1	5	6	5
Sun May 22 01:02:10 2022	1653174130	0	6	6	6
Sun May 22 01:02:17 2022	1653174137	0	6	6	6
Sun May 22 01:02:11 2022	1653174131	1	6	6	4
Sun May 22 01:02:31 2022	1653174151	0	6	6	4
Sun May 22 01:02:23 2022	1653174143	0	6	6	4
Sun May 22 01:02:11 2022	1653174131	0	6	6	6
Sun May 22 01:02:28 2022	1653174148	1	6	6	4
Sun May 22 01:02:33 2022	1653174153	1	6	6	5
Sun May 22 01:02:12 2022	1653174132	1	6	6	6
Sun May 22 01:02:32 2022	1653174152	1	6	6	5
Sun May 22 01:02:23 2022	1653174143	1	6	6	6
Sun May 22 01:02:22 2022	1653174142	1	6	6	6
Sun May 22 01:02:19 2022	1653174139	1	6	6	5
Sun May 22 01:02:11 2022	1653174131	1	5	6	5
Sun May 22 01:02:28 2022	1653174148	1	6	6	6
Sun May 22 01:02:09 2022	1653174129	0	6	6	4
Sun May 22 01:02:31 2022	1653174151	1	5	6	5
Sun May 22 01:02:24 2022	1653174144	0	6	6	6
Sun May 22 01:02:11 2022	1653174131	1	6	6	6
Sun May 22 01:02:13 2022	1653174133	1	6	6	6
Sun May 22 01:02:10 2022	1653174130	0	6	6	6
Sun May 22 01:02:29 2022	1653174149	1	6	6	4
Sun May 22 01:02:10 2022	1653174130	1	6	6	6
Sun May 22 01:02:09 2022	1653174129	1	6	6	6
