Percentage served,Time in ms
0,4.867
1,6.534
2,7.034
3,7.434
4,7.683
5,7.935
6,8.188
7,8.396
8,8.564
9,8.742
10,8.962
11,9.103
12,9.258
13,9.390
14,9.528
15,9.649
16,9.805
17,9.935
18,10.058
19,10.179
20,10.308
21,10.450
22,10.587
23,10.707
24,10.804
25,10.929
26,11.067
27,11.178
28,11.283
29,11.373
30,11.479
31,11.602
32,11.726
33,11.840
34,11.967
35,12.085
36,12.188
37,12.296
38,12.414
39,12.511
40,12.632
41,12.749
42,12.870
43,12.990
44,13.108
45,13.224
46,13.342
47,13.472
48,13.594
49,13.736
50,13.831
51,13.955
52,14.092
53,14.216
54,14.355
55,14.485
56,14.628
57,14.786
58,14.926
59,15.061
60,15.229
61,15.366
62,15.506
63,15.661
64,15.825
65,15.995
66,16.167
67,16.366
68,16.541
69,16.729
70,16.921
71,17.093
72,17.297
73,17.481
74,17.687
75,17.909
76,18.128
77,18.383
78,18.626
79,18.931
80,19.185
81,19.486
82,19.775
83,20.135
84,20.402
85,20.784
86,21.219
87,21.592
88,22.151
89,22.765
90,23.437
91,24.111
92,25.075
93,26.209
94,27.587
95,28.996
96,31.243
97,36.267
98,51.478
99,118.586
100,1103.708
