Percentage served,Time in ms
0,7.518
1,18.475
2,20.540
3,22.152
4,23.552
5,24.615
6,25.784
7,26.851
8,28.024
9,29.193
10,30.243
11,31.322
12,32.206
13,33.044
14,33.846
15,34.564
16,35.386
17,36.175
18,36.886
19,37.594
20,38.381
21,39.209
22,39.898
23,40.521
24,41.146
25,41.701
26,42.354
27,43.008
28,43.620
29,44.097
30,44.611
31,45.121
32,45.674
33,46.141
34,46.575
35,47.088
36,47.573
37,48.004
38,48.440
39,48.913
40,49.346
41,49.752
42,50.188
43,50.659
44,51.083
45,51.493
46,51.876
47,52.222
48,52.562
49,52.980
50,53.343
51,53.767
52,54.166
53,54.594
54,54.988
55,55.396
56,55.785
57,56.109
58,56.448
59,56.874
60,57.243
61,57.686
62,58.095
63,58.499
64,58.952
65,59.312
66,59.631
67,60.021
68,60.458
69,60.888
70,61.351
71,61.898
72,62.317
73,62.749
74,63.200
75,63.641
76,64.043
77,64.463
78,65.018
79,65.581
80,66.125
81,66.665
82,67.211
83,67.820
84,68.455
85,69.096
86,69.742
87,70.567
88,71.255
89,72.056
90,72.988
91,73.929
92,75.025
93,76.183
94,77.555
95,79.130
96,81.480
97,84.037
98,88.469
99,95.993
100,1140.349
