starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:22:43 2022	1653168163	1	4	5	4
Sat May 21 23:22:43 2022	1653168163	1	5	5	5
Sat May 21 23:22:43 2022	1653168163	1	5	6	5
Sat May 21 23:22:43 2022	1653168163	1	5	6	5
Sat May 21 23:22:43 2022	1653168163	1	5	6	5
Sat May 21 23:22:43 2022	1653168163	1	5	6	5
Sat May 21 23:22:35 2022	1653168155	1	6	7	6
Sat May 21 23:22:35 2022	1653168155	1	6	7	6
Sat May 21 23:22:35 2022	1653168155	1	5	7	5
Sat May 21 23:22:43 2022	1653168163	1	6	7	6
Sat May 21 23:22:35 2022	1653168155	1	6	7	6
Sat May 21 23:22:43 2022	1653168163	1	6	7	6
Sat May 21 23:22:43 2022	1653168163	1	6	7	6
Sat May 21 23:22:43 2022	1653168163	1	6	7	6
Sat May 21 23:22:35 2022	1653168155	1	7	7	7
Sat May 21 23:22:29 2022	1653168149	1	6	7	6
Sat May 21 23:22:43 2022	1653168163	1	6	8	6
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	6	8	6
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	6	8	6
Sat May 21 23:22:35 2022	1653168155	1	6	8	6
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:42 2022	1653168162	1	7	8	7
Sat May 21 23:22:30 2022	1653168150	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	2	6	8	6
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:28 2022	1653168148	1	7	8	7
Sat May 21 23:22:30 2022	1653168150	1	7	8	7
Sat May 21 23:22:35 2022	1653168155	1	8	8	8
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:42 2022	1653168162	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	2	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	2	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	2	7	8	7
Sat May 21 23:22:29 2022	1653168149	2	7	8	7
Sat May 21 23:22:43 2022	1653168163	1	8	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:42 2022	1653168162	1	8	8	7
Sat May 21 23:22:35 2022	1653168155	1	7	8	7
Sat May 21 23:22:43 2022	1653168163	2	7	8	7
Sat May 21 23:22:42 2022	1653168162	2	6	9	6
Sat May 21 23:22:43 2022	1653168163	1	7	9	7
Sat May 21 23:22:35 2022	1653168155	2	6	9	6
Sat May 21 23:22:35 2022	1653168155	2	7	9	7
Sat May 21 23:22:30 2022	1653168150	1	7	9	7
Sat May 21 23:22:35 2022	1653168155	1	8	9	7
Sat May 21 23:22:35 2022	1653168155	1	8	9	8
Sat May 21 23:22:42 2022	1653168162	1	8	9	8
Sat May 21 23:22:29 2022	1653168149	1	8	9	8
