Percentage served,Time in ms
0,5.305
1,9.297
2,10.583
3,11.468
4,12.267
5,12.901
6,13.762
7,14.500
8,15.261
9,15.967
10,16.798
11,17.648
12,18.768
13,19.649
14,20.519
15,21.489
16,22.632
17,24.172
18,26.045
19,28.103
20,32.088
21,35.004
22,36.052
23,36.789
24,37.592
25,38.356
26,38.891
27,39.293
28,39.649
29,39.937
30,40.120
31,40.320
32,40.501
33,40.660
34,40.799
35,40.945
36,41.066
37,41.192
38,41.316
39,41.445
40,41.563
41,41.671
42,41.788
43,41.884
44,41.999
45,42.095
46,42.214
47,42.318
48,42.433
49,42.541
50,42.655
51,42.746
52,42.848
53,42.960
54,43.081
55,43.181
56,43.301
57,43.399
58,43.509
59,43.609
60,43.719
61,43.830
62,43.944
63,44.045
64,44.161
65,44.284
66,44.398
67,44.526
68,44.681
69,44.843
70,44.971
71,45.146
72,45.343
73,45.504
74,45.673
75,45.848
76,46.042
77,46.253
78,46.451
79,46.648
80,46.877
81,47.108
82,47.395
83,47.637
84,47.891
85,48.195
86,48.524
87,48.921
88,49.264
89,49.639
90,50.077
91,50.640
92,51.125
93,51.777
94,52.645
95,53.858
96,55.197
97,57.726
98,64.139
99,144.924
100,3190.058
