starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:24:10 2022	1653168250	1	3	4	3
Sat May 21 23:24:10 2022	1653168250	1	3	4	3
Sat May 21 23:24:10 2022	1653168250	1	4	4	3
Sat May 21 23:24:10 2022	1653168250	0	4	4	4
Sat May 21 23:24:10 2022	1653168250	1	4	4	4
Sat May 21 23:24:10 2022	1653168250	1	4	4	4
Sat May 21 23:24:10 2022	1653168250	1	4	4	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:08 2022	1653168248	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:08 2022	1653168248	1	4	5	4
Sat May 21 23:24:08 2022	1653168248	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:08 2022	1653168248	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	4	5	4
Sat May 21 23:24:10 2022	1653168250	1	5	5	5
Sat May 21 23:24:11 2022	1653168251	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	4	6	4
Sat May 21 23:24:10 2022	1653168250	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	5	6	5
Sat May 21 23:23:45 2022	1653168225	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	5	6	5
Sat May 21 23:24:10 2022	1653168250	1	5	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	5	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	4
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:23:57 2022	1653168237	1	6	6	6
Sat May 21 23:23:45 2022	1653168225	1	6	6	6
Sat May 21 23:24:14 2022	1653168254	1	6	6	5
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:10 2022	1653168250	1	6	7	6
Sat May 21 23:23:45 2022	1653168225	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:11 2022	1653168251	1	6	7	6
Sat May 21 23:24:11 2022	1653168251	1	6	7	6
Sat May 21 23:23:44 2022	1653168224	1	6	7	5
Sat May 21 23:23:57 2022	1653168237	1	6	7	6
Sat May 21 23:24:06 2022	1653168246	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:08 2022	1653168248	1	6	7	6
Sat May 21 23:24:11 2022	1653168251	1	6	7	6
Sat May 21 23:24:08 2022	1653168248	1	6	7	6
Sat May 21 23:24:10 2022	1653168250	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:23:57 2022	1653168237	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:10 2022	1653168250	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:23:45 2022	1653168225	1	6	7	6
Sat May 21 23:24:10 2022	1653168250	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:10 2022	1653168250	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:24:10 2022	1653168250	0	7	7	5
Sat May 21 23:24:14 2022	1653168254	1	6	7	6
Sat May 21 23:24:10 2022	1653168250	1	7	7	6
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:23:57 2022	1653168237	0	7	7	7
Sat May 21 23:24:14 2022	1653168254	1	6	7	5
Sat May 21 23:23:57 2022	1653168237	1	7	7	6
Sat May 21 23:23:44 2022	1653168224	1	6	7	6
Sat May 21 23:23:45 2022	1653168225	1	6	7	6
Sat May 21 23:23:45 2022	1653168225	1	6	7	6
Sat May 21 23:24:14 2022	1653168254	1	7	7	6
Sat May 21 23:24:08 2022	1653168248	1	7	7	6
Sat May 21 23:23:44 2022	1653168224	1	6	7	6
Sat May 21 23:23:43 2022	1653168223	1	6	7	6
Sat May 21 23:23:43 2022	1653168223	1	6	7	6
Sat May 21 23:23:57 2022	1653168237	1	6	8	6
Sat May 21 23:24:08 2022	1653168248	1	7	8	6
Sat May 21 23:24:14 2022	1653168254	1	7	8	6
Sat May 21 23:23:44 2022	1653168224	1	6	8	6
Sat May 21 23:23:44 2022	1653168224	1	7	8	7
Sat May 21 23:24:14 2022	1653168254	1	7	8	5
