Percentage served,Time in ms
0,6.060
1,8.038
2,8.966
3,9.436
4,9.924
5,10.400
6,10.842
7,11.186
8,11.563
9,11.979
10,12.362
11,12.774
12,13.273
13,13.742
14,14.288
15,14.964
16,15.605
17,16.451
18,17.846
19,19.619
20,21.289
21,23.907
22,26.685
23,30.289
24,33.508
25,36.065
26,38.197
27,39.664
28,40.650
29,41.438
30,42.252
31,42.755
32,43.263
33,43.825
34,44.293
35,44.748
36,45.222
37,45.659
38,46.032
39,46.380
40,46.752
41,47.129
42,47.475
43,47.778
44,48.091
45,48.361
46,48.648
47,48.942
48,49.257
49,49.469
50,49.735
51,50.015
52,50.237
53,50.457
54,50.646
55,50.861
56,51.069
57,51.244
58,51.427
59,51.629
60,51.788
61,51.943
62,52.119
63,52.280
64,52.457
65,52.639
66,52.823
67,53.004
68,53.145
69,53.307
70,53.471
71,53.647
72,53.811
73,54.008
74,54.188
75,54.340
76,54.523
77,54.706
78,54.923
79,55.113
80,55.330
81,55.545
82,55.727
83,55.986
84,56.251
85,56.535
86,56.764
87,57.063
88,57.394
89,57.728
90,58.173
91,58.642
92,59.153
93,59.815
94,60.530
95,61.843
96,63.286
97,65.344
98,69.962
99,110.109
100,3170.948
