starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:27:50 2022	1653172070	1	52	53	51
Sun May 22 00:28:18 2022	1653172098	1	53	53	52
Sun May 22 00:28:11 2022	1653172091	1	52	53	52
Sun May 22 00:28:28 2022	1653172108	1	53	53	52
Sun May 22 00:27:53 2022	1653172073	1	53	53	52
Sun May 22 00:27:48 2022	1653172068	1	53	53	51
Sun May 22 00:28:34 2022	1653172114	1	52	53	52
Sun May 22 00:28:31 2022	1653172111	1	52	53	52
Sun May 22 00:28:31 2022	1653172111	1	52	53	51
Sun May 22 00:28:38 2022	1653172118	1	52	53	52
Sun May 22 00:28:38 2022	1653172118	1	52	53	51
Sun May 22 00:28:24 2022	1653172104	1	53	53	52
Sun May 22 00:28:04 2022	1653172084	1	52	53	52
Sun May 22 00:27:53 2022	1653172073	1	52	53	51
Sun May 22 00:28:10 2022	1653172090	1	52	53	51
Sun May 22 00:28:16 2022	1653172096	1	52	53	52
Sun May 22 00:28:34 2022	1653172114	1	53	53	52
Sun May 22 00:27:52 2022	1653172072	1	52	53	52
Sun May 22 00:27:46 2022	1653172066	1	53	53	51
Sun May 22 00:28:41 2022	1653172121	1	52	53	51
Sun May 22 00:28:18 2022	1653172098	1	52	53	52
Sun May 22 00:28:22 2022	1653172102	1	52	53	51
Sun May 22 00:27:56 2022	1653172076	1	52	53	52
Sun May 22 00:28:32 2022	1653172112	1	52	53	52
Sun May 22 00:28:25 2022	1653172105	1	53	53	52
Sun May 22 00:28:03 2022	1653172083	1	53	53	52
Sun May 22 00:28:09 2022	1653172089	1	52	53	51
Sun May 22 00:28:40 2022	1653172120	1	52	53	52
Sun May 22 00:28:26 2022	1653172106	1	52	53	52
Sun May 22 00:27:59 2022	1653172079	1	52	53	51
Sun May 22 00:27:56 2022	1653172076	1	53	53	52
Sun May 22 00:28:15 2022	1653172095	1	52	53	51
Sun May 22 00:28:05 2022	1653172085	1	53	53	52
Sun May 22 00:28:41 2022	1653172121	1	52	53	51
Sun May 22 00:28:39 2022	1653172119	1	52	53	51
Sun May 22 00:28:35 2022	1653172115	1	53	53	52
Sun May 22 00:28:25 2022	1653172105	1	52	53	51
Sun May 22 00:27:51 2022	1653172071	1	52	53	40
Sun May 22 00:28:01 2022	1653172081	1	52	53	51
Sun May 22 00:28:37 2022	1653172117	1	52	53	51
Sun May 22 00:28:26 2022	1653172106	1	53	53	52
Sun May 22 00:28:18 2022	1653172098	1	53	53	52
Sun May 22 00:28:23 2022	1653172103	1	52	53	52
Sun May 22 00:28:18 2022	1653172098	1	52	53	51
Sun May 22 00:28:15 2022	1653172095	1	53	53	52
Sun May 22 00:28:36 2022	1653172116	1	53	53	52
Sun May 22 00:28:30 2022	1653172110	1	53	53	52
Sun May 22 00:28:05 2022	1653172085	1	53	53	52
Sun May 22 00:28:07 2022	1653172087	1	53	53	52
Sun May 22 00:28:29 2022	1653172109	1	53	53	52
Sun May 22 00:28:33 2022	1653172113	1	53	53	52
Sun May 22 00:28:39 2022	1653172119	1	53	53	52
Sun May 22 00:27:56 2022	1653172076	1	53	53	52
Sun May 22 00:27:56 2022	1653172076	1	53	53	52
Sun May 22 00:28:27 2022	1653172107	1	52	53	52
Sun May 22 00:27:58 2022	1653172078	1	53	53	51
Sun May 22 00:27:54 2022	1653172074	1	52	53	51
Sun May 22 00:28:38 2022	1653172118	1	52	53	52
Sun May 22 00:28:18 2022	1653172098	0	53	53	52
Sun May 22 00:28:26 2022	1653172106	1	52	53	51
Sun May 22 00:28:28 2022	1653172108	1	52	53	51
Sun May 22 00:28:40 2022	1653172120	1	52	53	51
Sun May 22 00:27:59 2022	1653172079	1	53	53	52
Sun May 22 00:28:11 2022	1653172091	1	53	53	52
Sun May 22 00:28:08 2022	1653172088	1	53	53	52
Sun May 22 00:28:29 2022	1653172109	1	52	53	52
Sun May 22 00:28:06 2022	1653172086	1	53	53	51
Sun May 22 00:28:06 2022	1653172086	1	53	53	52
Sun May 22 00:28:36 2022	1653172116	1	52	53	52
Sun May 22 00:28:32 2022	1653172112	1	53	53	52
Sun May 22 00:28:32 2022	1653172112	1	52	53	51
Sun May 22 00:28:39 2022	1653172119	1	52	53	51
Sun May 22 00:27:55 2022	1653172075	1	52	53	51
Sun May 22 00:27:54 2022	1653172074	1	52	53	52
Sun May 22 00:28:09 2022	1653172089	1	52	53	51
Sun May 22 00:28:40 2022	1653172120	1	53	53	52
Sun May 22 00:28:14 2022	1653172094	1	53	53	52
Sun May 22 00:28:37 2022	1653172117	1	53	53	52
Sun May 22 00:28:13 2022	1653172093	1	52	53	52
Sun May 22 00:27:56 2022	1653172076	1	52	53	51
Sun May 22 00:27:56 2022	1653172076	1	53	53	52
Sun May 22 00:28:08 2022	1653172088	1	53	53	52
Sun May 22 00:28:22 2022	1653172102	1	53	53	52
Sun May 22 00:28:38 2022	1653172118	1	53	53	52
Sun May 22 00:28:10 2022	1653172090	1	53	53	52
Sun May 22 00:27:59 2022	1653172079	1	53	53	52
Sun May 22 00:28:22 2022	1653172102	1	53	53	52
Sun May 22 00:28:08 2022	1653172088	1	52	53	51
Sun May 22 00:28:35 2022	1653172115	1	53	53	52
Sun May 22 00:28:37 2022	1653172117	1	53	53	51
Sun May 22 00:28:35 2022	1653172115	1	52	53	50
Sun May 22 00:28:25 2022	1653172105	0	53	53	52
