starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:30:30 2022	1653172230	1	10	10	9
Sun May 22 00:29:45 2022	1653172185	1	10	11	10
Sun May 22 00:30:23 2022	1653172223	1	11	11	10
Sun May 22 00:29:41 2022	1653172181	2	11	12	9
Sun May 22 00:30:01 2022	1653172201	1	12	13	11
Sun May 22 00:30:04 2022	1653172204	1	12	13	11
Sun May 22 00:29:44 2022	1653172184	1	12	13	11
Sun May 22 00:29:42 2022	1653172182	1	12	13	12
Sun May 22 00:29:53 2022	1653172193	1	12	13	11
Sun May 22 00:29:52 2022	1653172192	1	12	13	12
Sun May 22 00:29:56 2022	1653172196	1	13	13	12
Sun May 22 00:30:18 2022	1653172218	1	13	13	12
Sun May 22 00:29:45 2022	1653172185	1	13	13	12
Sun May 22 00:29:54 2022	1653172194	1	13	13	12
Sun May 22 00:30:29 2022	1653172229	1	13	13	11
Sun May 22 00:30:13 2022	1653172213	1	13	14	12
Sun May 22 00:29:49 2022	1653172189	1	13	14	12
Sun May 22 00:30:14 2022	1653172214	1	13	14	12
Sun May 22 00:29:48 2022	1653172188	1	13	14	12
Sun May 22 00:30:02 2022	1653172202	1	13	14	13
Sun May 22 00:30:33 2022	1653172233	1	14	14	12
Sun May 22 00:30:33 2022	1653172233	1	14	14	13
Sun May 22 00:30:35 2022	1653172235	1	13	14	12
Sun May 22 00:29:56 2022	1653172196	1	14	15	13
Sun May 22 00:30:12 2022	1653172212	1	14	15	13
Sun May 22 00:30:36 2022	1653172236	1	14	15	13
Sun May 22 00:29:49 2022	1653172189	1	14	15	12
Sun May 22 00:29:46 2022	1653172186	1	14	15	13
Sun May 22 00:30:01 2022	1653172201	1	14	15	13
Sun May 22 00:29:44 2022	1653172184	1	14	15	13
Sun May 22 00:29:44 2022	1653172184	1	14	15	13
Sun May 22 00:29:43 2022	1653172183	1	14	15	11
Sun May 22 00:30:15 2022	1653172215	1	15	15	14
Sun May 22 00:30:09 2022	1653172209	1	15	16	14
Sun May 22 00:29:42 2022	1653172182	1	15	16	14
Sun May 22 00:30:02 2022	1653172202	4	12	16	12
Sun May 22 00:30:10 2022	1653172210	0	15	16	15
Sun May 22 00:30:26 2022	1653172226	1	15	16	14
Sun May 22 00:30:34 2022	1653172234	0	15	16	15
Sun May 22 00:29:51 2022	1653172191	1	15	16	14
Sun May 22 00:30:03 2022	1653172203	1	15	16	14
Sun May 22 00:30:19 2022	1653172219	1	15	16	15
Sun May 22 00:30:35 2022	1653172235	1	15	16	15
Sun May 22 00:29:43 2022	1653172183	1	15	16	14
Sun May 22 00:29:49 2022	1653172189	1	15	16	15
Sun May 22 00:30:13 2022	1653172213	1	15	16	14
Sun May 22 00:29:55 2022	1653172195	1	16	16	15
Sun May 22 00:29:59 2022	1653172199	1	16	16	15
Sun May 22 00:30:30 2022	1653172230	1	16	16	15
Sun May 22 00:30:30 2022	1653172230	1	16	16	15
Sun May 22 00:29:47 2022	1653172187	1	16	17	16
