Percentage served,Time in ms
0,15.018
1,38.966
2,40.174
3,40.776
4,41.294
5,41.787
6,42.333
7,42.866
8,43.482
9,43.923
10,44.415
11,44.831
12,45.199
13,45.565
14,45.873
15,46.187
16,46.448
17,46.676
18,46.844
19,47.006
20,47.153
21,47.302
22,47.427
23,47.547
24,47.671
25,47.753
26,47.850
27,47.949
28,48.036
29,48.114
30,48.197
31,48.287
32,48.397
33,48.486
34,48.559
35,48.664
36,48.760
37,48.837
38,48.924
39,49.014
40,49.091
41,49.180
42,49.276
43,49.357
44,49.460
45,49.564
46,49.651
47,49.760
48,49.852
49,49.949
50,50.046
51,50.131
52,50.228
53,50.343
54,50.459
55,50.590
56,50.718
57,50.838
58,50.944
59,51.082
60,51.214
61,51.334
62,51.477
63,51.615
64,51.740
65,51.877
66,52.023
67,52.162
68,52.314
69,52.463
70,52.619
71,52.760
72,52.940
73,53.108
74,53.266
75,53.444
76,53.649
77,53.872
78,54.049
79,54.253
80,54.416
81,54.580
82,54.791
83,54.950
84,55.148
85,55.372
86,55.585
87,55.854
88,56.140
89,56.427
90,56.789
91,57.211
92,57.774
93,58.381
94,59.209
95,60.122
96,61.317
97,62.972
98,66.258
99,75.124
100,3138.397
