starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:32:36 2022	1653172356	1	6	8	6
Sun May 22 00:33:14 2022	1653172394	1	9	9	8
Sun May 22 00:33:06 2022	1653172386	1	9	9	8
Sun May 22 00:33:01 2022	1653172381	1	9	10	8
Sun May 22 00:33:33 2022	1653172413	2	8	10	8
Sun May 22 00:33:05 2022	1653172385	1	10	10	9
Sun May 22 00:33:06 2022	1653172386	1	10	11	9
Sun May 22 00:32:42 2022	1653172362	1	10	11	9
Sun May 22 00:33:31 2022	1653172411	1	10	11	9
Sun May 22 00:32:56 2022	1653172376	1	10	11	9
Sun May 22 00:32:51 2022	1653172371	1	11	12	10
Sun May 22 00:33:08 2022	1653172388	1	11	12	10
Sun May 22 00:32:46 2022	1653172366	1	11	12	11
Sun May 22 00:32:56 2022	1653172376	1	12	12	11
Sun May 22 00:32:53 2022	1653172373	1	12	12	10
Sun May 22 00:32:44 2022	1653172364	1	12	12	10
Sun May 22 00:32:58 2022	1653172378	1	12	12	11
Sun May 22 00:33:26 2022	1653172406	1	11	12	11
Sun May 22 00:32:51 2022	1653172371	1	12	13	10
Sun May 22 00:32:58 2022	1653172378	1	12	13	12
Sun May 22 00:33:05 2022	1653172385	1	12	13	12
Sun May 22 00:33:18 2022	1653172398	1	13	13	12
Sun May 22 00:32:39 2022	1653172359	1	13	13	12
Sun May 22 00:33:30 2022	1653172410	1	12	14	11
Sun May 22 00:33:29 2022	1653172409	1	13	14	12
Sun May 22 00:33:31 2022	1653172411	1	13	14	12
Sun May 22 00:33:02 2022	1653172382	1	13	14	12
Sun May 22 00:32:51 2022	1653172371	1	13	14	11
Sun May 22 00:33:23 2022	1653172403	1	13	14	12
Sun May 22 00:33:33 2022	1653172413	1	13	14	12
Sun May 22 00:33:15 2022	1653172395	1	13	14	12
Sun May 22 00:32:41 2022	1653172361	1	13	14	13
Sun May 22 00:33:17 2022	1653172397	1	13	14	12
Sun May 22 00:32:38 2022	1653172358	1	13	14	13
Sun May 22 00:33:02 2022	1653172382	1	13	14	12
Sun May 22 00:32:37 2022	1653172357	1	13	14	13
Sun May 22 00:32:44 2022	1653172364	1	13	14	13
Sun May 22 00:33:06 2022	1653172386	1	14	14	13
Sun May 22 00:33:31 2022	1653172411	1	13	14	12
Sun May 22 00:32:50 2022	1653172370	1	13	14	12
Sun May 22 00:33:28 2022	1653172408	1	14	14	13
Sun May 22 00:33:02 2022	1653172382	1	14	14	12
Sun May 22 00:32:51 2022	1653172371	1	14	14	13
Sun May 22 00:33:33 2022	1653172413	1	14	14	12
Sun May 22 00:33:06 2022	1653172386	1	14	15	12
Sun May 22 00:32:54 2022	1653172374	1	14	15	13
Sun May 22 00:32:54 2022	1653172374	1	14	15	12
Sun May 22 00:33:23 2022	1653172403	1	14	15	13
Sun May 22 00:33:11 2022	1653172391	1	14	15	13
Sun May 22 00:33:26 2022	1653172406	1	14	15	14
Sun May 22 00:33:09 2022	1653172389	1	14	15	13
Sun May 22 00:33:33 2022	1653172413	2	13	15	13
Sun May 22 00:33:33 2022	1653172413	1	15	15	14
Sun May 22 00:33:07 2022	1653172387	1	15	15	14
Sun May 22 00:33:18 2022	1653172398	1	15	15	14
Sun May 22 00:33:33 2022	1653172413	2	14	15	14
Sun May 22 00:32:51 2022	1653172371	1	15	15	15
Sun May 22 00:32:57 2022	1653172377	1	15	15	14
Sun May 22 00:33:06 2022	1653172386	1	15	16	13
Sun May 22 00:33:24 2022	1653172404	1	15	16	14
Sun May 22 00:32:43 2022	1653172363	1	14	16	14
Sun May 22 00:33:10 2022	1653172390	1	15	16	14
Sun May 22 00:33:07 2022	1653172387	1	15	16	14
Sun May 22 00:33:10 2022	1653172390	1	15	16	15
Sun May 22 00:32:59 2022	1653172379	1	15	16	14
Sun May 22 00:32:43 2022	1653172363	1	15	16	15
Sun May 22 00:32:41 2022	1653172361	1	15	16	14
